Parameter,Optimal of Male,Optimal of Female,Fitness of Male,Fitness of Female
"(6,4,10,6)",-1.044961,-5.385013,-6.437177,3.283873
"(6,4,10,8)",-1.057101,-5.385013,-6.447796,14.995769
"(6,4,10,10)",-0.672260,-5.385013,-5.394024,7.729419
"(6,6,-10,0)",-0.428546,4.785629,0.765149,-22.903183
"(6,6,-10,0.2)",-0.428546,4.785629,0.765149,-22.903183
"(6,6,-10,0.4)",-0.428546,4.785629,0.765149,-22.903183
"(6,6,-10,0.6)",-0.428546,4.785629,0.765149,-22.903183
"(6,6,-10,0.8)",-0.428546,4.785629,0.765149,-22.903183
"(6,6,-10,1)",-0.428546,5.000665,0.857301,-25.000000
"(6,6,-10,2)",-0.428546,5.213358,0.948450,-27.188644
"(6,6,-10,4)",-0.428546,5.643035,1.132587,-31.841408
"(6,6,-10,6)",-0.428546,6.071893,1.316372,-36.861477
"(6,6,-10,8)",-0.428546,6.499635,1.499679,-42.248852
"(6,6,-10,10)",-0.428546,6.928144,1.683315,-48.003525
"(6,6,-8,0)",-0.428546,3.785888,0.336713,-14.331729
"(6,6,-8,0.2)",-0.428546,3.785888,0.336713,-14.331729
"(6,6,-8,0.4)",-0.428546,3.785888,0.336713,-14.331729
"(6,6,-8,0.6)",-0.428546,3.785888,0.336713,-14.331729
"(6,6,-8,0.8)",-0.428546,3.785888,0.336713,-14.331729
"(6,6,-8,1)",-0.428546,4.000016,0.428477,-16.000000
"(6,6,-8,2)",-0.428546,4.214665,0.520464,-17.760099
"(6,6,-8,4)",-0.428546,4.642559,0.703836,-21.555769
"(6,6,-8,6)",-0.428546,5.071492,0.887654,-25.718746
"(6,6,-8,8)",-0.428546,5.500398,1.071460,-30.249027
"(6,6,-8,10)",-0.428546,5.926671,1.254137,-35.146606
"(6,6,-6,0)",-0.428546,2.785652,-0.091934,-7.760274
"(6,6,-6,0.2)",-0.428546,2.785652,-0.091934,-7.760274
"(6,6,-6,0.4)",-0.428546,2.785652,-0.091934,-7.760274
"(6,6,-6,0.6)",-0.428546,2.785652,-0.091934,-7.760274
"(6,6,-6,0.8)",-0.428546,2.785652,-0.091934,-7.760274
"(6,6,-6,1)",-0.428546,3.000688,0.000219,-9.000000
"(6,6,-6,2)",-0.428546,3.214000,0.091633,-10.331551
"(6,6,-6,4)",-0.428546,3.642824,0.275404,-13.270132
"(6,6,-6,6)",-0.428546,4.071393,0.459065,-16.576015
"(6,6,-6,8)",-0.428546,4.499166,0.642386,-20.249203
"(6,6,-6,10)",-0.428546,4.929193,0.826672,-24.289696
"(6,6,-4,0)",-0.428546,1.526722,-0.631444,-3.121737
"(6,6,-4,0.2)",-0.428546,1.526722,-0.631444,-3.121737
"(6,6,-4,0.4)",-0.428546,1.526722,-0.631444,-3.121737
"(6,6,-4,0.6)",-0.428546,1.526722,-0.631444,-3.121737
"(6,6,-4,0.8)",-0.428546,1.526722,-0.631444,-3.121737
"(6,6,-4,1)",-0.428546,2.000001,-0.428622,-4.000000
"(6,6,-4,2)",-0.428546,2.214478,-0.336709,-4.903005
"(6,6,-4,4)",-0.428546,2.642410,-0.153320,-6.984493
"(6,6,-4,6)",-0.428546,3.071630,0.030621,-9.433285
"(6,6,-4,8)",-0.428546,3.499577,0.214016,-12.249380
"(6,6,-4,10)",-0.428546,3.927634,0.397458,-15.432779
"(6,6,-2,0)",-0.428546,0.621924,-1.019191,-0.590536
"(6,6,-2,0.2)",-0.428546,0.621924,-1.019191,-0.590536
"(6,6,-2,0.4)",-0.428546,0.621924,-1.019191,-0.590536
"(6,6,-2,0.6)",-0.428546,0.621924,-1.019191,-0.590536
"(6,6,-2,0.8)",-0.428546,0.621924,-1.019191,-0.590536
"(6,6,-2,1)",-0.428546,0.999745,-0.857277,-1.000000
"(6,6,-2,2)",-0.428546,1.214190,-0.765378,-1.474459
"(6,6,-2,4)",-0.428546,1.642416,-0.581863,-2.698855
"(6,6,-2,6)",-0.428546,2.071172,-0.398121,-4.290554
"(6,6,-2,8)",-0.428546,2.499986,-0.214355,-6.249557
"(6,6,-2,10)",-0.428546,2.928365,-0.030775,-8.575864
"(6,6,0,0)",-0.444001,-0.214205,-1.379155,-0.049223
"(6,6,0,0.2)",-0.446601,-0.232129,-1.387108,-0.049785
"(6,6,0,0.4)",-0.442040,-0.214205,-1.379132,-0.048803
"(6,6,0,0.6)",-0.438889,-0.214256,-1.379004,-0.048129
"(6,6,0,0.8)",-0.444206,-0.214209,-1.379156,-0.049267
"(6,6,0,1)",-0.428546,0.000000,-1.285714,0.000000
"(6,6,0,2)",-0.428546,0.214218,-1.193912,-0.045913
"(6,6,0,4)",-0.428546,0.642701,-1.010288,-0.413217
"(6,6,0,6)",-0.428546,1.071327,-0.826602,-1.147824
"(6,6,0,8)",-0.428546,1.499955,-0.642914,-2.249734
"(6,6,0,10)",-0.428546,1.928309,-0.459345,-3.718949
"(6,6,2,0)",-0.516922,-1.260100,-1.882447,-1.583722
"(6,6,2,0.2)",-0.532615,-1.259076,-1.880541,-1.603483
"(6,6,2,0.4)",-0.516410,-1.259070,-1.881902,-1.583079
"(6,6,2,0.6)",-0.511383,-1.257490,-1.880769,-1.576758
"(6,6,2,0.8)",-0.520125,-1.261542,-1.883199,-1.587756
"(6,6,2,1)",-0.495304,-1.000065,-1.749878,-1.000000
"(6,6,2,2)",-0.493794,-0.620319,-1.562247,-0.549533
"(6,6,2,4)",-0.493840,-0.620319,-1.562233,0.063172
"(6,6,2,6)",-0.493826,-0.620319,-1.562237,0.675808
"(6,6,2,8)",-0.493895,-0.620319,-1.562217,1.288768
"(6,6,2,10)",-0.428547,1.155812,-0.790394,-0.810353
"(6,6,4,0)",-0.563339,-2.297609,-2.452911,-5.205762
"(6,6,4,0.2)",-0.578528,-2.294818,-2.455922,-5.240699
"(6,6,4,0.4)",-0.600933,-2.295894,-2.457433,-5.292125
"(6,6,4,0.6)",-0.598665,-2.296144,-2.457813,-5.286919
"(6,6,4,0.8)",-0.572984,-2.295894,-2.455240,-5.227958
"(6,6,4,1)",-0.567308,-2.000182,-2.285699,-4.000000
"(6,6,4,2)",-0.624264,-2.027907,-2.283594,-2.733271
"(6,6,4,4)",-0.615094,-2.027907,-2.289533,-0.257162
"(6,6,4,6)",-0.684103,-2.027907,-2.215937,2.937262
"(6,6,4,8)",-0.519623,-2.027907,-2.281428,3.377002
"(6,6,4,10)",-0.428621,-2.027907,-2.154919,3.823617
"(6,6,6,0)",-0.641374,-3.335225,-3.107847,-11.026752
"(6,6,6,0.2)",-0.934602,-3.335676,-2.610775,-12.004851
"(6,6,6,0.4)",-0.767398,-3.329840,-3.037402,-11.446520
"(6,6,6,0.6)",-0.788475,-3.341331,-3.013557,-11.518049
"(6,6,6,0.8)",-0.917002,-3.333311,-2.672416,-11.945558
"(6,6,6,1)",-0.801560,-2.999483,-2.716137,-9.000000
"(6,6,6,2)",-0.444607,-2.027907,-2.185536,-7.153413
"(6,6,6,4)",-0.548199,-2.027907,-2.297235,-4.719945
"(6,6,6,6)",-0.619762,-2.027907,-2.286657,-1.770933
"(6,6,6,8)",-0.643308,-2.027907,-2.267500,1.076953
"(6,6,6,10)",-0.428546,-2.027907,-2.154766,-0.233571
"(6,6,8,0)",-0.805490,-4.490442,-3.908247,-19.376474
"(6,6,8,0.2)",-0.724237,-4.385217,-3.849724,-19.027546
"(6,6,8,0.4)",-0.764267,-4.421996,-3.876459,-19.201508
"(6,6,8,0.6)",-0.761196,-4.293342,-3.779316,-19.182024
"(6,6,8,0.8)",-0.766983,-4.374640,-3.839332,-19.214920
"(6,6,8,1)",-0.718084,-4.000369,-3.571592,-16.000000
"(6,6,8,2)",-0.688823,-5.385013,-4.520920,-10.372414
"(6,6,8,4)",-0.682085,-5.385013,-4.508866,-3.062633
"(6,6,8,6)",-0.428546,-5.385013,-3.593441,-2.543106
"(6,6,8,8)",-0.787301,-5.385013,-4.624532,15.595627
"(6,6,8,10)",-0.783441,-5.385013,-4.623027,23.887831
"(6,6,10,0)",-0.782018,-5.400671,-4.634665,-29.062885
"(6,6,10,0.2)",-0.816070,-5.407879,-4.647836,-29.246843
"(6,6,10,0.4)",-0.811515,-5.411129,-4.650406,-29.222185
"(6,6,10,0.6)",-0.812797,-5.407879,-4.647818,-29.229143
"(6,6,10,0.8)",-0.834519,-5.400671,-4.639123,-29.346428
"(6,6,10,1)",-0.777271,-5.000000,-4.320930,-25.000002
"(6,6,10,2)",-0.706755,-5.385013,-4.549897,-21.045879
"(6,6,10,4)",-0.693993,-5.385013,-4.529736,-13.640274
"(6,6,10,6)",-0.674276,-5.385013,-4.494104,-6.696846
"(6,6,10,8)",-0.549908,-5.385013,-4.143917,-4.122947
"(6,6,10,10)",-0.597133,-5.385013,-4.302391,4.088338
"(6,8,-10,0)",-0.333326,4.833950,0.611279,-23.361149
"(6,8,-10,0.2)",-0.333326,4.833950,0.611279,-23.361149
"(6,8,-10,0.4)",-0.333326,4.833950,0.611279,-23.361149
"(6,8,-10,0.6)",-0.333326,4.833950,0.611279,-23.361149
"(6,8,-10,0.8)",-0.333326,4.833950,0.611279,-23.361149
"(6,8,-10,1)",-0.333326,5.000665,0.666849,-25.000000
"(6,8,-10,2)",-0.333326,5.165772,0.721884,-26.694405
"(6,8,-10,4)",-0.333326,5.500081,0.833318,-30.249874
"(6,8,-10,6)",-0.333326,5.833238,0.944367,-34.027554
"(6,8,-10,8)",-0.333326,6.167134,1.055664,-38.027447
"(6,8,-10,10)",-0.333326,6.499229,1.166359,-42.249550
"(6,8,-8,0)",-0.333326,3.833561,0.277824,-14.694475
"(6,8,-8,0.2)",-0.333326,3.833561,0.277824,-14.694475
"(6,8,-8,0.4)",-0.333326,3.833561,0.277824,-14.694475
"(6,8,-8,0.6)",-0.333326,3.833561,0.277824,-14.694475
"(6,8,-8,0.8)",-0.333326,3.833561,0.277824,-14.694475
"(6,8,-8,1)",-0.333326,4.000016,0.333308,-16.000000
"(6,8,-8,2)",-0.333326,4.167523,0.389142,-17.361080
"(6,8,-8,4)",-0.333326,4.500424,0.500106,-20.249897
"(6,8,-8,6)",-0.333326,4.833991,0.611293,-23.360924
"(6,8,-8,8)",-0.333326,5.166400,0.722093,-26.694166
"(6,8,-8,10)",-0.333326,5.499581,0.833151,-30.249620
"(6,8,-6,0)",-0.333326,2.833142,-0.055641,-8.027800
"(6,8,-6,0.2)",-0.333326,2.833142,-0.055641,-8.027800
"(6,8,-6,0.4)",-0.333326,2.833142,-0.055641,-8.027800
"(6,8,-6,0.6)",-0.333326,2.833142,-0.055641,-8.027800
"(6,8,-6,0.8)",-0.333326,2.833142,-0.055641,-8.027800
"(6,8,-6,1)",-0.333326,3.000688,0.000206,-9.000000
"(6,8,-6,2)",-0.333326,3.166568,0.055498,-10.027754
"(6,8,-6,4)",-0.333326,3.500306,0.166742,-12.249919
"(6,8,-6,6)",-0.333326,3.832866,0.277592,-14.694297
"(6,8,-6,8)",-0.333326,4.168033,0.389312,-17.360886
"(6,8,-6,10)",-0.333326,4.499608,0.499834,-20.249689
"(6,8,-4,0)",-0.333326,1.526722,-0.491105,-3.267112
"(6,8,-4,0.2)",-0.333326,1.526722,-0.491105,-3.267112
"(6,8,-4,0.4)",-0.333326,1.526722,-0.491105,-3.267112
"(6,8,-4,0.6)",-0.333326,1.526722,-0.491105,-3.267112
"(6,8,-4,0.8)",-0.333326,1.526722,-0.491105,-3.267112
"(6,8,-4,1)",-0.333326,2.000001,-0.333348,-4.000000
"(6,8,-4,2)",-0.333326,2.166664,-0.277795,-4.694428
"(6,8,-4,4)",-0.333326,2.499963,-0.166698,-6.249942
"(6,8,-4,6)",-0.333326,2.833702,-0.055455,-8.027668
"(6,8,-4,8)",-0.333326,3.167465,0.055797,-10.027605
"(6,8,-4,10)",-0.333326,3.500720,0.166880,-12.249756
"(6,8,-2,0)",-0.333326,0.621924,-0.792697,-0.649755
"(6,8,-2,0.2)",-0.333326,0.621924,-0.792697,-0.649755
"(6,8,-2,0.4)",-0.333326,0.621924,-0.792697,-0.649755
"(6,8,-2,0.6)",-0.333326,0.621924,-0.792697,-0.649755
"(6,8,-2,0.8)",-0.333326,0.621924,-0.792697,-0.649755
"(6,8,-2,1)",-0.333326,0.999745,-0.666759,-1.000000
"(6,8,-2,2)",-0.333326,1.166715,-0.611104,-1.361102
"(6,8,-2,4)",-0.333326,1.499983,-0.500017,-2.249965
"(6,8,-2,6)",-0.333326,1.833126,-0.388972,-3.361040
"(6,8,-2,8)",-0.333326,2.166664,-0.277795,-4.694327
"(6,8,-2,10)",-0.333326,2.500122,-0.166645,-6.249826
"(6,8,0,0)",-0.342512,-0.166661,-1.056325,-0.029307
"(6,8,0,0.2)",-0.333338,-0.166661,-1.055554,-0.027778
"(6,8,0,0.4)",-0.344962,-0.166661,-1.056275,-0.029716
"(6,8,0,0.6)",-0.341738,-0.166661,-1.056319,-0.029179
"(6,8,0,0.8)",-0.333341,-0.166661,-1.055555,-0.027779
"(6,8,0,1)",-0.333341,0.000000,-1.000000,0.000000
"(6,8,0,2)",-0.333861,0.166696,-0.944344,-0.027866
"(6,8,0,4)",-0.333339,0.499948,-0.833348,-0.250008
"(6,8,0,6)",-0.333341,0.833443,-0.722179,-0.694476
"(6,8,0,8)",-0.333341,1.166722,-0.611084,-1.361172
"(6,8,0,10)",-0.333326,1.499955,-0.500027,-2.249896
"(6,8,2,0)",-0.399645,-1.192640,-1.437057,-1.439523
"(6,8,2,0.2)",-0.393273,-1.199168,-1.439265,-1.431932
"(6,8,2,0.4)",-0.402103,-1.200608,-1.440205,-1.442525
"(6,8,2,0.6)",-0.402127,-1.199495,-1.439756,-1.442551
"(6,8,2,0.8)",-0.402073,-1.172207,-1.428787,-1.441657
"(6,8,2,1)",-0.389226,-1.000065,-1.361135,-1.000000
"(6,8,2,2)",-0.384124,-0.620319,-1.215062,-0.617563
"(6,8,2,4)",-0.384182,-0.620319,-1.215045,-0.140897
"(6,8,2,6)",-0.384045,-0.620319,-1.215085,0.335309
"(6,8,2,8)",-0.384117,-0.620319,-1.215065,0.812082
"(6,8,2,10)",-0.384103,-0.620319,-1.215068,1.288557
"(6,8,4,0)",-0.502060,-2.228540,-1.862643,-5.066630
"(6,8,4,0.2)",-0.433359,-2.227875,-1.875424,-4.913544
"(6,8,4,0.4)",-0.451882,-2.228606,-1.880583,-4.954805
"(6,8,4,0.6)",-0.477584,-2.226643,-1.876135,-5.012043
"(6,8,4,0.8)",-0.433201,-2.226643,-1.874822,-4.913216
"(6,8,4,1)",-0.434256,-2.000182,-1.776923,-4.000000
"(6,8,4,2)",-0.429712,-2.027907,-1.787816,-3.127806
"(6,8,4,4)",-0.333343,-2.027907,-1.675988,-1.971257
"(6,8,4,6)",-0.333343,-2.027907,-1.675988,-0.619281
"(6,8,4,8)",-0.333326,-2.027907,-1.675953,0.732452
"(6,8,4,10)",-0.502455,-2.027907,-1.761512,5.171174
"(6,8,6,0)",-0.423197,-3.258654,-2.306373,-10.312151
"(6,8,6,0.2)",-0.532458,-3.261188,-2.379590,-10.668228
"(6,8,6,0.4)",-0.505549,-3.256587,-2.379440,-10.580529
"(6,8,6,0.6)",-0.538301,-3.254580,-2.373838,-10.687134
"(6,8,6,0.8)",-0.494450,-3.256618,-2.376608,-10.544382
"(6,8,6,1)",-0.575146,-2.999676,-2.198992,-9.000000
"(6,8,6,2)",-0.531083,-2.027907,-1.725043,-6.978048
"(6,8,6,4)",-0.514024,-2.027907,-1.748550,-4.927855
"(6,8,6,6)",-0.689251,-2.027907,-1.257638,-1.066345
"(6,8,6,8)",-0.700002,-2.027907,-1.209526,1.881736
"(6,8,6,10)",-0.499316,-2.027907,-1.764614,1.058056
"(6,8,8,0)",-0.589196,-4.327887,-2.960783,-18.442463
"(6,8,8,0.2)",-0.564085,-4.290350,-2.940905,-18.335821
"(6,8,8,0.4)",-0.580522,-4.298921,-2.945698,-18.406267
"(6,8,8,0.6)",-0.568111,-4.216718,-2.899479,-18.348595
"(6,8,8,0.8)",-0.559337,-4.298347,-2.944526,-18.315212
"(6,8,8,1)",-0.541783,-4.000369,-2.776270,-15.999999
"(6,8,8,2)",-0.670923,-5.385013,-3.587228,-10.468807
"(6,8,8,4)",-0.428654,-5.385013,-3.226532,-7.156824
"(6,8,8,6)",-0.333343,-5.385013,-2.795055,-5.106463
"(6,8,8,8)",-0.333343,-5.385013,-2.795055,-1.516353
"(6,8,8,10)",-0.641426,-5.385013,-3.599798,17.005030
"(6,8,10,0)",-0.628131,-5.317007,-3.557626,-28.239283
"(6,8,10,0.2)",-0.610730,-5.313069,-3.552311,-28.146839
"(6,8,10,0.4)",-0.612087,-5.309625,-3.550620,-28.154083
"(6,8,10,0.6)",-0.615658,-5.314070,-3.554285,-28.173012
"(6,8,10,0.8)",-0.710973,-5.311835,-3.493066,-28.679331
"(6,8,10,1)",-0.649418,-5.000000,-3.347905,-25.000000
"(6,8,10,2)",-0.542698,-5.385013,-3.527934,-21.929329
"(6,8,10,4)",-0.541442,-5.385013,-3.525889,-16.104748
"(6,8,10,6)",-0.746018,-5.385013,-3.484540,-4.765191
"(6,8,10,8)",-0.739906,-5.385013,-3.496692,3.039061
"(6,8,10,10)",-0.503348,-5.385013,-3.450390,-0.456964
"(6,10,-10,0)",-0.272758,4.863206,0.508298,-23.654810
"(6,10,-10,0.2)",-0.272758,4.863206,0.508298,-23.654810
"(6,10,-10,0.4)",-0.272758,4.863206,0.508298,-23.654810
"(6,10,-10,0.6)",-0.272758,4.863206,0.508298,-23.654810
"(6,10,-10,0.8)",-0.272758,4.863206,0.508298,-23.654810
"(6,10,-10,1)",-0.272758,5.000665,0.545791,-25.000000
"(6,10,-10,2)",-0.272758,5.136316,0.582790,-26.382391
"(6,10,-10,4)",-0.272758,5.408973,0.657160,-29.258768
"(6,10,-10,6)",-0.272758,5.683146,0.731943,-32.283939
"(6,10,-10,8)",-0.272758,5.955535,0.806239,-35.457901
"(6,10,-10,10)",-0.272758,6.227003,0.880284,-38.780663
"(6,10,-8,0)",-0.272758,3.863372,0.235585,-14.927567
"(6,10,-8,0.2)",-0.272758,3.863372,0.235585,-14.927567
"(6,10,-8,0.4)",-0.272758,3.863372,0.235585,-14.927567
"(6,10,-8,0.6)",-0.272758,3.863372,0.235585,-14.927567
"(6,10,-8,0.8)",-0.272758,3.863372,0.235585,-14.927567
"(6,10,-8,1)",-0.272758,4.000016,0.272855,-16.000000
"(6,10,-8,2)",-0.272758,4.135489,0.309807,-17.109632
"(6,10,-8,4)",-0.272758,4.408642,0.384312,-19.440493
"(6,10,-8,6)",-0.272758,4.681195,0.458653,-21.920147
"(6,10,-8,8)",-0.272758,4.954400,0.533171,-24.548594
"(6,10,-8,10)",-0.272758,5.227754,0.607731,-27.325838
"(6,10,-6,0)",-0.272758,2.863155,-0.037233,-8.200324
"(6,10,-6,0.2)",-0.272758,2.863155,-0.037233,-8.200324
"(6,10,-6,0.4)",-0.272758,2.863155,-0.037233,-8.200324
"(6,10,-6,0.6)",-0.272758,2.863155,-0.037233,-8.200324
"(6,10,-6,0.8)",-0.272758,2.863155,-0.037233,-8.200324
"(6,10,-6,1)",-0.272758,3.000688,0.000280,-9.000000
"(6,10,-6,2)",-0.272758,3.136569,0.037343,-9.836874
"(6,10,-6,4)",-0.272758,3.408950,0.111637,-11.622217
"(6,10,-6,6)",-0.272758,3.681153,0.185883,-13.556354
"(6,10,-6,8)",-0.272758,3.955033,0.260586,-15.639287
"(6,10,-6,10)",-0.272758,4.227313,0.334852,-17.871012
"(6,10,-4,0)",-0.272758,1.526722,-0.401756,-3.359582
"(6,10,-4,0.2)",-0.272758,1.526722,-0.401756,-3.359582
"(6,10,-4,0.4)",-0.272758,1.526722,-0.401756,-3.359582
"(6,10,-4,0.6)",-0.272758,1.526722,-0.401756,-3.359582
"(6,10,-4,0.8)",-0.272758,1.526722,-0.401756,-3.359582
"(6,10,-4,1)",-0.272758,1.999975,-0.272672,-4.000000
"(6,10,-4,2)",-0.272758,2.135967,-0.235579,-4.564116
"(6,10,-4,4)",-0.272758,2.409057,-0.161092,-5.803942
"(6,10,-4,6)",-0.272758,2.681474,-0.086788,-7.192563
"(6,10,-4,8)",-0.272758,2.954422,-0.012339,-8.729979
"(6,10,-4,10)",-0.272758,3.227458,0.062134,-10.416188
"(6,10,-2,0)",-0.272758,0.621924,-0.648547,-0.687424
"(6,10,-2,0.2)",-0.272758,0.621924,-0.648547,-0.687424
"(6,10,-2,0.4)",-0.272758,0.621924,-0.648547,-0.687424
"(6,10,-2,0.6)",-0.272758,0.621924,-0.648547,-0.687424
"(6,10,-2,0.8)",-0.272758,0.621924,-0.648547,-0.687424
"(6,10,-2,1)",-0.272758,0.999985,-0.545428,-1.000000
"(6,10,-2,2)",-0.272758,1.136363,-0.508229,-1.291358
"(6,10,-2,4)",-0.272758,1.409377,-0.433763,-1.985668
"(6,10,-2,6)",-0.272758,1.682036,-0.359393,-2.828773
"(6,10,-2,8)",-0.272758,1.954888,-0.284970,-3.820671
"(6,10,-2,10)",-0.272758,2.227496,-0.210614,-4.961364
"(6,10,0,0)",-0.272767,-0.139475,-0.856226,-0.018591
"(6,10,0,0.2)",-0.272758,-0.136377,-0.855380,-0.018599
"(6,10,0,0.4)",-0.272758,-0.136377,-0.855380,-0.018599
"(6,10,0,0.6)",-0.272758,-0.144772,-0.857669,-0.018529
"(6,10,0,0.8)",-0.272758,-0.136377,-0.855380,-0.018599
"(6,10,0,1)",-0.272758,0.000000,-0.818182,0.000000
"(6,10,0,2)",-0.272758,0.136389,-0.780981,-0.018599
"(6,10,0,4)",-0.272758,0.409155,-0.706581,-0.167393
"(6,10,0,6)",-0.272758,0.681747,-0.632230,-0.464981
"(6,10,0,8)",-0.272758,0.954549,-0.557821,-0.911364
"(6,10,0,10)",-0.272758,1.227132,-0.483471,-1.506540
"(6,10,2,0)",-0.326222,-1.162086,-1.165801,-1.352826
"(6,10,2,0.2)",-0.326005,-1.163220,-1.166174,-1.352575
"(6,10,2,0.4)",-0.325055,-1.141584,-1.159139,-1.351031
"(6,10,2,0.6)",-0.324238,-1.146834,-1.160842,-1.350287
"(6,10,2,0.8)",-0.325375,-1.163652,-1.166316,-1.351842
"(6,10,2,1)",-0.318749,-1.000065,-1.113653,-1.000000
"(6,10,2,2)",-0.314260,-0.620319,-0.994149,-0.660901
"(6,10,2,4)",-0.314267,-0.620319,-0.994147,-0.271004
"(6,10,2,6)",-0.314301,-0.620319,-0.994137,0.118992
"(6,10,2,8)",-0.314327,-0.620319,-0.994129,0.509038
"(6,10,2,10)",-0.314271,-0.620319,-0.994146,0.898693
"(6,10,4,0)",-0.399012,-2.184774,-1.514506,-4.837611
"(6,10,4,0.2)",-0.367106,-2.185961,-1.522680,-4.767899
"(6,10,4,0.4)",-0.392836,-2.185909,-1.518198,-4.824143
"(6,10,4,0.6)",-0.348445,-2.184774,-1.516390,-4.727131
"(6,10,4,0.8)",-0.364235,-2.185949,-1.522270,-4.761622
"(6,10,4,1)",-0.361591,-2.000575,-1.454707,-4.000000
"(6,10,4,2)",-0.355121,-2.027907,-1.463658,-3.279068
"(6,10,4,4)",-0.272758,-2.027907,-1.371310,-2.339836
"(6,10,4,6)",-0.438505,-2.027907,-1.405124,0.447015
"(6,10,4,8)",-0.272758,-2.027907,-1.371310,-0.127323
"(6,10,4,10)",-0.272758,-2.027907,-1.371310,0.978933
"(6,10,6,0)",-0.469049,-3.211118,-1.900389,-10.461601
"(6,10,6,0.2)",-0.440138,-3.210598,-1.922998,-10.368755
"(6,10,6,0.4)",-0.418162,-3.209649,-1.927671,-10.298201
"(6,10,6,0.6)",-0.375497,-3.209568,-1.907187,-10.161265
"(6,10,6,0.8)",-0.518187,-3.209090,-1.818335,-10.619189
"(6,10,6,1)",-0.530933,-2.999676,-1.677436,-9.000000
"(6,10,6,2)",-0.272766,-2.027907,-1.371326,-7.501890
"(6,10,6,4)",-0.465371,-2.027907,-1.353684,-5.223850
"(6,10,6,6)",-0.633391,-2.027907,-0.671776,-1.632741
"(6,10,6,8)",-0.530511,-2.027907,-1.163031,-0.524246
"(6,10,6,10)",-0.540561,-2.027907,-1.125305,1.810833
"(6,10,8,0)",-0.465091,-4.326831,-2.423510,-17.905552
"(6,10,8,0.2)",-0.465061,-4.200336,-2.364680,-17.913279
"(6,10,8,0.4)",-0.465086,-4.218964,-2.373342,-17.914234
"(6,10,8,0.6)",-0.464959,-4.198929,-2.364028,-17.912756
"(6,10,8,0.8)",-0.465525,-4.189045,-2.359406,-17.914368
"(6,10,8,1)",-0.474626,-4.000367,-2.268466,-16.000000
"(6,10,8,2)",-0.459566,-3.792084,-2.176899,-14.214057
"(6,10,8,4)",-0.454497,-5.385013,-2.902211,-6.739326
"(6,10,8,6)",-0.435305,-5.385013,-2.871559,-2.361115
"(6,10,8,8)",-0.272758,-5.385013,-2.286988,-3.800092
"(6,10,8,10)",-0.272758,-5.385013,-2.286988,-0.862478
"(6,10,10,0)",-0.502151,-5.255608,-2.878303,-27.573776
"(6,10,10,0.2)",-0.510173,-5.255608,-2.879266,-27.615932
"(6,10,10,0.4)",-0.511152,-5.254004,-2.878466,-27.621075
"(6,10,10,0.6)",-0.510933,-5.254004,-2.878464,-27.619926
"(6,10,10,0.8)",-0.508837,-5.253974,-2.878373,-27.608912
"(6,10,10,1)",-0.499298,-5.000000,-2.749995,-25.000000
"(6,10,10,2)",-0.536511,-5.385013,-2.941901,-21.962646
"(6,10,10,4)",-0.524795,-5.385013,-2.945290,-16.373676
"(6,10,10,6)",-0.397925,-5.385013,-2.788594,-14.137605
"(6,10,10,8)",-0.520359,-5.385013,-2.945786,-5.236801
"(6,10,10,10)",-0.525421,-5.385013,-2.945186,0.612822
"(8,0,-10,0)",-3.999687,1.526722,-9.893590,-6.829928
"(8,0,-10,0.2)",-3.999687,1.526722,-9.893590,-6.829928
"(8,0,-10,0.4)",-3.999687,1.526722,-9.893590,-6.829928
"(8,0,-10,0.6)",-3.999687,1.526722,-9.893590,-6.829928
"(8,0,-10,0.8)",-3.999687,1.526722,-9.893590,-6.829928
"(8,0,-10,1)",-3.999687,5.000665,4.001095,-25.000000
"(8,0,-10,2)",-3.999687,7.000442,11.999578,-48.997814
"(8,0,-10,4)",-3.999687,10.999061,27.992804,-120.989685
"(8,0,-10,6)",-3.999687,14.997766,43.986378,-224.976547
"(8,0,-10,8)",-8415.563477,-16720.472656,-69957816.000000,1264726784.000000
"(8,0,-10,10)",811279.125000,-1022108.750000,1487395749888.000000,-6418222546944.000000
"(8,0,-8,0)",-3.999687,1.526722,-9.893590,-3.776485
"(8,0,-8,0.2)",-3.999687,1.526722,-9.893590,-3.776485
"(8,0,-8,0.4)",-3.999687,1.526722,-9.893590,-3.776485
"(8,0,-8,0.6)",-3.999687,1.526722,-9.893590,-3.776485
"(8,0,-8,0.8)",-3.999687,1.526722,-9.893590,-3.776485
"(8,0,-8,1)",-3.999687,3.999968,-0.001379,-16.000000
"(8,0,-8,2)",-3.999687,5.998873,7.993615,-35.998127
"(8,0,-8,4)",-3.999687,10.000746,23.999857,-99.990623
"(8,0,-8,6)",-3.999687,14.000144,39.996204,-195.978119
"(8,0,-8,8)",153.751755,2313.362305,-330813.906250,7822922.500000
"(8,0,-8,10)",3325899520.000000,-3044769024.000000,21188202594731819008.000000,-81868747398805716992.000000
"(8,0,-6,0)",-3.999687,1.526722,-9.893590,-0.723041
"(8,0,-6,0.2)",-3.999687,1.526722,-9.893590,-0.723041
"(8,0,-6,0.4)",-3.999687,1.526722,-9.893590,-0.723041
"(8,0,-6,0.6)",-3.999687,1.526722,-9.893590,-0.723041
"(8,0,-6,0.8)",-3.999687,1.526722,-9.893590,-0.723041
