Parameter,Optimal of Male,Optimal of Female,Fitness of Male,Fitness of Female
"(-10,0.2,-2,0.4)",7.343179,4.676976,-53.853386,-21.823719
"(-10,0.2,-2,0.6)",7.304646,4.666026,-53.772274,-21.643921
"(-10,0.2,-2,0.8)",7.310432,4.659386,-53.724026,-21.671019
"(-10,0.2,-2,1)",5.499283,0.999838,-30.249111,-1.000000
"(-10,0.2,-2,2)",5.336733,-1.500119,-16.880877,-2.755140
"(-10,0.2,-2,4)",5.652534,-6.500027,12.167425,-54.974468
"(-10,0.2,-2,6)",5.255160,-11.660504,36.342926,-147.100723
"(-10,0.2,-2,8)",5.017280,-17.143114,61.012108,-273.910034
"(-10,0.2,-2,10)",-1401432.375000,959503.250000,3308705546240.000000,-11181466058752.000000
"(-10,0.2,0,0)",6.612233,3.276756,-44.067379,-10.929544
"(-10,0.2,0,0.2)",6.878239,3.327495,-44.359524,-11.815084
"(-10,0.2,0,0.4)",6.653868,3.314300,-44.317631,-11.068331
"(-10,0.2,0,0.6)",6.413266,3.362162,-44.565121,-10.258305
"(-10,0.2,0,0.8)",6.772714,3.334461,-44.440834,-11.464721
"(-10,0.2,0,1)",5.000513,0.000000,-25.000000,0.000000
"(-10,0.2,0,2)",4.999765,-2.502076,-12.490206,-6.249409
"(-10,0.2,0,4)",4.999765,-7.598727,12.991854,-56.234905
"(-10,0.2,0,6)",4.999765,-13.152779,40.760807,-155.808456
"(-10,0.2,0,8)",4.999765,-17.728722,63.639450,-306.168579
"(-10,0.2,0,10)",9588588018160107520.000000,22022375678446403584.000000,-119222467963031362429918452650233298944.000000,inf
"(-10,0.2,2,0)",6.068638,2.013155,-36.075123,-4.138006
"(-10,0.2,2,0.2)",6.049736,2.000018,-35.997635,-4.099473
"(-10,0.2,2,0.4)",6.023294,2.004554,-36.026890,-4.046673
"(-10,0.2,2,0.6)",6.076122,2.001141,-36.001141,-4.152329
"(-10,0.2,2,0.8)",6.066031,1.997086,-35.977962,-4.131861
"(-10,0.2,2,1)",4.999765,-1.000154,-19.999466,-1.000000
"(-10,0.2,2,2)",4.999765,-3.500069,-7.500478,-12.249181
"(-10,0.2,2,4)",4.999765,-8.501918,17.507595,-72.244011
"(-10,0.2,2,6)",4.999765,-13.503133,42.512501,-182.234131
"(-10,0.2,2,8)",4.999765,-18.504284,67.517082,-342.219604
"(-10,0.2,2,10)",41664618496.000000,794954104832.000000,-31385518249150576066560.000000,930045060404526656258048.000000
"(-10,0.2,4,0)",4.999765,-2.027907,-14.860941,6.139838
"(-10,0.2,4,0.2)",4.999765,-2.027907,-14.860941,6.139838
"(-10,0.2,4,0.4)",4.999765,-2.027907,-14.860941,6.139838
"(-10,0.2,4,0.6)",4.999765,-2.027907,-14.860941,6.139838
"(-10,0.2,4,0.8)",4.999765,-2.027907,-14.860941,6.139838
"(-10,0.2,4,1)",4.999765,-2.000226,-14.999339,-4.000000
"(-10,0.2,4,2)",4.999765,-4.501370,-2.494209,-20.248943
"(-10,0.2,4,4)",4.999765,-9.500620,22.500870,-90.243317
"(-10,0.2,4,6)",4.999765,-14.500871,47.500957,-210.232971
"(-10,0.2,4,8)",4.999765,-19.501091,72.500877,-380.217987
"(-10,0.2,4,10)",-12292777295478784.000000,15118349306429440.000000,336958845226962879174418863489024.000000,-1444053960976297877219141159485440.000000
"(-10,0.2,6,0)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0.2,6,0.2)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0.2,6,0.4)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0.2,6,0.6)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0.2,6,0.8)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0.2,6,1)",4.999765,-3.000000,-10.000701,-9.000000
"(-10,0.2,6,2)",4.999765,-5.499287,2.495143,-30.248713
"(-10,0.2,6,4)",4.999765,-10.500676,27.500917,-110.242607
"(-10,0.2,6,6)",4.999765,-15.501412,52.503429,-240.231796
"(-10,0.2,6,8)",-251.982773,26840.300781,6829308.500000,673219776.000000
"(-10,0.2,6,10)",-1553410944.000000,1301188352.000000,4434365579192696832.000000,-16498430360011407360.000000
"(-10,0.2,8,0)",4.999765,-5.385013,1.923805,12.842066
"(-10,0.2,8,0.2)",4.999765,-5.385013,1.923805,12.842066
"(-10,0.2,8,0.4)",4.999765,-5.385013,1.923805,12.842066
"(-10,0.2,8,0.6)",4.999765,-5.385013,1.923805,12.842066
"(-10,0.2,8,0.8)",4.999765,-5.385013,1.923805,12.842066
"(-10,0.2,8,1)",4.999765,-4.000367,-4.999107,-16.000002
"(-10,0.2,8,2)",4.999765,-6.501282,7.504883,-42.248478
"(-10,0.2,8,4)",4.999765,-11.500321,32.498913,-132.241898
"(-10,0.2,8,6)",4.999765,-16.500189,57.497074,-272.230652
"(-10,0.2,8,8)",4480.165039,23533.935547,-85408832.000000,1292085760.000000
"(-10,0.2,8,10)",-1035030.062500,1090120.750000,2199605215232.000000,-8966397493248.000000
"(-10,0.2,10,0)",4.999765,-5.385013,1.923805,2.072040
"(-10,0.2,10,0.2)",4.999765,-5.385013,1.923805,2.072040
"(-10,0.2,10,0.4)",4.999765,-5.385013,1.923805,2.072040
"(-10,0.2,10,0.6)",4.999765,-5.385013,1.923805,2.072040
"(-10,0.2,10,0.8)",4.999765,-5.385013,1.923805,2.072040
